Opinion,Brand,Body
neu,apl,"20 min line @apple store @short pump.
"
irr,msf,"Nueva tecnología convierte cualquier superficie en una pantalla multitactil. http://t.co/EDibLL5V #Microsoft #omnitouch
"
neu,ggl,"Some people should not post replies in #Google+ threads. Their posts only continue to weaken their creditbility.
"
neg,apl,"I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple
"
neg,msf,"#Microsoft - We put the """"backwards"""" into backwards compatibility. #instantfollowback
"
neg,twt,"#twitter is sooo trash ritenow with all dezz #highscoolmemories -__-
"
neu,apl,"RT @jesperordrup: Hi @apple. Household has 4 iphones, 2 ipads, 2 minis, 2 apple tv, AirPorts, Timecapsule +. Whats a usable iPhoto shari ...
"
irr,msf,"#ALG Culminando formación en #Microsoft M-2778 y en #IndicadoresDeGestión. Gracias a nuestros clientes por su preferencia. www.alg.net.ve
"
neu,msf,"#Microsoft Community Blogs The 7/365 Review - The Cloud's Impact on Business http://t.co/gPB2MjFW
"
irr,twt,"Buenas noches a todos #Twitter off
"
neu,apl,"This video brought a small tear to my eye http://t.co/3va2ninp. Watch to @SteveWoz opinion of #SteveJobs and @Apple
"
neg,msf,"I gave a try to Windows 8 Dev. Preview and it was good but the UI is way too messy right now, waiting for the Beta #microsoft #windows8
"
neu,ggl,"now watching live stream of #Google new mobile #Nexus
"
neu,twt,"Dear #twitter, Now that we all know I'm awesome could you write me a new """"all about me"""" for my profile because really you do know me best.
"
pos,apl,"@apple..good ipad
"
neu,apl,"@BikerVox @mariomussolini @ios_notch @apple xD thats why i have a back up PC… just incase *hides gun*
"
neu,ggl,"#Google #Android #IceCreamSandwich features - http://t.co/qXFdDrt4. #ICS
"
pos,msf,"@RAD_Software Yes good points about #ERP but unfair assessment in saying """"#SAGE, #SAP and #Microsoft Dynamics, are not delivering""""
"
neu,twt,"These Hoes Follow Me Like #Twitter !
"
irr,twt,"#putamadre hay gente que pasa todo el día poniendo sus problemas de amor cada 5 minutos en #FB consiganse una cuenta de #twitter losers!
"
neu,twt,"My #twitter age is 1 year 19 days 13 hours 37 minutes 17 seconds. Find out yours at http://t.co/XhRUA9Dz #twittertime
"
irr,ggl,"ну собственно, товарищи, фотки интерфейса #Google #GalaxyNexus кто еще не видел: http://t.co/NS2jNRL7
"
neu,ggl,"#Android #Google Ice Cream Sandwich new features not mentioned during webcast http://t.co/m2UGgiev #DhilipSiva
"
neg,twt,"RT @nagoul1: #Retweets section of my #twitter account has not been working for 17 hours! Is Everyone else having this problem? #RT #RTs
"
